downloading https://blockchain.info/blocks/?format=json
LB = number of leading bits; PRICE = estimated price to mine the block
hash                                                             LB     PRICE timestamp
00000000000000000019b5f5965af5817e89404f8d9379c245c8e69a0185d1fe 75    49,364 Wed Jul  4 03:56:51 2018
0000000000000000001776b45392cb981ba48a9a5669a80469d462f08da188a2 75    49,364 Wed Jul  4 03:53:57 2018
0000000000000000001803e5b333017c2bde4a0fdafb88ee6f2e627e291a1e86 75    49,364 Wed Jul  4 03:28:51 2018
0000000000000000000021d2062e376a5edf513da21cc3e2639fbf1cd73140e1 82 6,318,652 Wed Jul  4 03:26:22 2018
000000000000000000139ad56989c49c6531aa2884c5781260458bf218220f1e 75    49,364 Wed Jul  4 03:20:38 2018
000000000000000000077ec7ba43e088551acf07c92f133b7172a0636724178f 77   197,458 Wed Jul  4 03:17:32 2018
0000000000000000001c379280893dec7b0f01bb81be4cdc7f77188f09964ce5 75    49,364 Wed Jul  4 03:01:43 2018
electricity bill, USD:  40,429,502
time mining, days    :  0.5859
est. per day, USD    :  69,001,046
----- using (min price of block) * (number of blocks):
electricity bill, USD:  1,999,261
est. per day, USD    :  3,412,140
